movie_name,movie_rating,movie_cast
Overlord,6.7,"Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbæk"
Robin Hood,5.3,"Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson"
Not Another Teen Movie,5.7,"Chyler Leigh,Jaime Pressly,Chris Evans,Eric Christian Olsen"
Jumanji: Welcome to the Jungle,7.0,"Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black"
Dune,,"Stellan Skarsgård,Zendaya,Jason Momoa,Josh Brolin"
Zodiac,7.7,"Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards"
Blade Runner 2049,8.0,"Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista"
Dumbo,6.6,"Colin Farrell,Michael Keaton,Danny DeVito,Eva Green"
Baby Driver,7.6,"Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González"
Replicas,5.4,"Keanu Reeves,Alice Eve,Thomas Middleditch,John Ortiz"
The New Mutants,,"Maisie Williams,Anya Taylor-Joy,Alice Braga,Antonio Banderas"
The Hateful Eight,7.8,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins"
Deadpool,8.0,"Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein"
Aladdin,8.0,"Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman"
Good Sam,5.6,"Tiya Sircar,Chad Connell,Marco Grazzini,Jesse Camacho"
Forrest Gump,8.8,"Tom Hanks,Robin Wright,Gary Sinise,Sally Field"
Good Time,7.3,"Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,Buddy Duress"
Kingsman: The Secret Service,7.7,"Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine"
Pet Sematary,6.6,"Dale Midkiff,Denise Crosby,Fred Gwynne,Brad Greenquist"
Five Feet Apart,7.1,"Haley Lu Richardson,Cole Sprouse,Moises Arias,Kimberly Hebert Gregory"
Miss Bala,5.5,"Gina Rodriguez,Thomas Dekker,Vivian Chan,Barbarella Pardo"
Black Widow,,"Scarlett Johansson,Florence Pugh,Rachel Weisz,David Harbour"
Mean Girls,7.0,"Lindsay Lohan,Jonathan Bennett,Rachel McAdams,Tina Fey"
Adrift,6.6,"Shailene Woodley,Sam Claflin,Jeffrey Thomas,Elizabeth Hawthorne"
White Boy Rick,6.4,"Matthew McConaughey,Richie Merritt,Bel Powley,Jennifer Jason Leigh"
The Lion King,8.5,"Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg"
Shadow,7.0,"Chao Deng,Li Sun,Ryan Zheng,Qianyuan Wang"
A Simple Favor,6.9,"Anna Kendrick,Blake Lively,Henry Golding,Andrew Rannells"
Annihilation,6.9,"Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,Benedict Wong"
A Dog's Purpose,7.1,"Josh Gad,Dennis Quaid,Peggy Lipton,Bryce Gheisar"
Inglourious Basterds,8.3,"Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent"
X-Men: Days of Future Past,8.0,"Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy"
The Silence of the Lambs,8.6,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons"
The Wolf of Wall Street,8.2,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey"
The Ballad of Buster Scruggs,7.3,"Tim Blake Nelson,Willie Watson,Clancy Brown,Danny McCarthy"
Ophelia,6.8,"Daisy Ridley,Naomi Watts,George MacKay,Clive Owen"
Mary Queen of Scots,6.3,"Saoirse Ronan,Margot Robbie,Jack Lowden,Joe Alwyn"
Mother's Day,5.7,"Jennifer Aniston,Kate Hudson,Julia Roberts,Jason Sudeikis"
Scott Pilgrim vs. the World,7.5,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Anna Kendrick"
London Has Fallen,5.9,"Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett"
The Dark Knight Rises,8.4,"Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman"
Eyes Wide Shut,7.4,"Tom Cruise,Nicole Kidman,Todd Field,Sydney Pollack"
Incredibles 2,7.7,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner"
Spider-Man,7.3,"Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco"
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),,"Margot Robbie,Mary Elizabeth Winstead,Ewan McGregor,Ali Wong"
Logan,8.1,"Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook"
Prospect,6.1,"Sophie Thatcher,Jay Duplass,Pedro Pascal,Luke Pitzrick"
The Poison Rose,4.3,"Brendan Fraser,Famke Janssen,John Travolta,Ella Bleu Travolta"
Cinderella,6.9,"Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter"
Full Metal Jacket,8.3,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin"
The Shining,8.4,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers"
Knock Knock,4.9,"Keanu Reeves,Lorenza Izzo,Ana de Armas,Aaron Burns"
Bird Box,6.6,"Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson"
Fight Club,8.8,"Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier"
The Matrix Reloaded,7.2,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving"
Wedding Crashers,7.0,"Owen Wilson,Vince Vaughn,Rachel McAdams,Christopher Walken"
Gone Girl,8.1,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry"
The Perfect Date,5.9,"Noah Centineo,Laura Marano,Odiseas Georgiadis,Camila Mendes"
Godzilla,6.4,"Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,Ken Watanabe"
Annabelle Comes Home,,"Vera Farmiga,Patrick Wilson,Mckenna Grace,Madison Iseman"
Twilight,5.2,"Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke"
Tenet,,"Robert Pattinson,Elizabeth Debicki,Aaron Taylor-Johnson,John David Washington"
Anna,,"Sasha Luss,Helen Mirren,Luke Evans,Cillian Murphy"
Mulan,,"Yifei Liu,Donnie Yen,Li Gong,Jet Li"
The Great Gatsby,7.3,"Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,Tobey Maguire"
Terminator Genisys,6.4,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney"
Shaft,,"Samuel L. Jackson,Alexandra Shipp,Avan Jogia,Regina Hall"
The Punisher,6.5,"Thomas Jane,John Travolta,Samantha Mathis,Laura Harring"
The Beach Bum,6.2,"Matthew McConaughey,Snoop Dogg,Isla Fisher,Stefania LaVie Owen"
Call Me by Your Name,7.9,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar"
Tag,6.6,"Jeremy Renner,Ed Helms,Jake Johnson,Jon Hamm"
Widows,7.0,"Viola Davis,Michelle Rodriguez,Elizabeth Debicki"
Fast & Furious 9,,"Vin Diesel,Michelle Rodriguez,Jordana Brewster,Lucas Black"
The Nun,5.4,"Demián Bichir,Taissa Farmiga,Jonas Bloquet,Bonnie Aarons"
Jurassic Park,8.1,"Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough"
The Karate Kid,7.2,"Ralph Macchio,Pat Morita,Elisabeth Shue,Martin Kove"
Schindler's List,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall"
Action Point,5.0,"Johnny Knoxville,Eleanor Worthington-Cox,Chris Pontius,Dan Bakkedahl"
Back to the Future,8.5,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover"
What We Do in the Shadows,7.7,"Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,Jonny Brugh"
Fifty Shades of Grey,4.1,"Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford"
Creed II,7.2,"Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad"
Gemini Man,,"Will Smith,Mary Elizabeth Winstead,Clive Owen,Benedict Wong"
Unbreakable,7.3,"Bruce Willis,Samuel L. Jackson,Robin Wright,Spencer Treat Clark"
The Lord of the Rings: The Return of the King,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom"
Trial by Fire,6.2,"Laura Dern,Jack O'Connell,Emily Meade,Jade Pettyjohn"
Troy,7.2,"Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover"
The Cat in the Hat,3.9,"Mike Myers,Spencer Breslin,Dakota Fanning,Alec Baldwin"
On the Basis of Sex,6.8,"Felicity Jones,Armie Hammer,Justin Theroux,Sam Waterston"
The Prestige,8.5,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine"
Lucifer,7.7,"Mohanlal,Vivek Oberoi,Manju Warrier,Tovino Thomas"
The Big Lebowski,8.1,"Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi"
